service_id,date,exception_type
OP9SV,20250705,1
PRUEBA,20250705,1
OP40FV,20250706,1
OP41FIN,20250706,1
OP42FV,20250706,1
OP43FV,20250706,1
OP44FPV,20250706,1
OP9FV,20250706,1
PRUEBA,20250706,1
OP40LJLPQ,20250707,1
OP41LJLPQ,20250707,1
OP42LJLPQ,20250707,1
OP43LV,20250707,1
OP44LV,20250707,1
OP9LJLPQ,20250707,1
PRUEBA,20250707,1
OP40LJLPQ,20250708,1
OP41LJLPQ,20250708,1
OP42LJLPQ,20250708,1
OP43LV,20250708,1
OP44LV,20250708,1
OP9LJLPQ,20250708,1
PRUEBA,20250708,1
OP40LJLPQ,20250709,1
OP41LJLPQ,20250709,1
OP42LJLPQ,20250709,1
OP43LV,20250709,1
OP44LV,20250709,1
OP9LJLPQ,20250709,1
PRUEBA,20250709,1
OP40LJLPQ,20250710,1
OP41LJLPQ,20250710,1
OP42LJLPQ,20250710,1
OP43LV,20250710,1
OP44LV,20250710,1
OP9LJLPQ,20250710,1
PRUEBA,20250710,1
OP40LJLPQ,20250711,1
OP41VJLPQ,20250711,1
OP42VJLPQ,20250711,1
OP43LV,20250711,1
OP44LV,20250711,1
OP9LJLPQ,20250711,1
PRUEBA,20250711,1
OP40SJLSQ,20250712,1
OP41SIN,20250712,1
OP42SV,20250712,1
OP43SV,20250712,1
OP44SV,20250712,1
OP9EFCAR,20250712,1
OP9SV,20250712,1
PRUEBA,20250712,1
OP40FV,20250713,1
OP41FIN,20250713,1
OP42FV,20250713,1
OP43FV,20250713,1
OP44FPV,20250713,1
OP9FV,20250713,1
PRUEBA,20250713,1
OP40LJLSQ,20250714,1
OP41LJLSQ,20250714,1
OP42LJLSQ,20250714,1
OP43LV,20250714,1
OP44LV,20250714,1
OP9LJLSQ,20250714,1
PRUEBA,20250714,1
OP40LJLSQ,20250715,1
OP41LJLSQ,20250715,1
OP42LJLSQ,20250715,1
OP43LV,20250715,1
OP44LV,20250715,1
OP9LJLSQ,20250715,1
PRUEBA,20250715,1
OP40LJLSQ,20250716,1
OP41LJLSQ,20250716,1
OP42LJLSQ,20250716,1
OP43LV,20250716,1
OP44LV,20250716,1
OP9LJLSQ,20250716,1
PRUEBA,20250716,1
OP40LJLSQ,20250717,1
OP41LJLSQ,20250717,1
OP42LJLSQ,20250717,1
OP43LV,20250717,1
OP44LV,20250717,1
OP9LJLSQ,20250717,1
PRUEBA,20250717,1
OP40LJLSQ,20250718,1
OP41VJLSQ,20250718,1
OP42VJLSQ,20250718,1
OP43LV,20250718,1
OP44LV,20250718,1
OP9LJLSQ,20250718,1
PRUEBA,20250718,1
OP40SJLSQ,20250719,1
OP41SIN,20250719,1
OP42SV,20250719,1
OP43SV,20250719,1
OP44SV,20250719,1
OP9SV,20250719,1
PRUEBA,20250719,1
OP40FV,20250720,1
OP41FIN,20250720,1
OP42FV,20250720,1
OP43FV,20250720,1
OP44FPV,20250720,1
OP9FV,20250720,1
PRUEBA,20250720,1
OP40LJLSQ,20250721,1
OP41LJLSQ,20250721,1
OP42LJLSQ,20250721,1
OP43LV,20250721,1
OP44LV,20250721,1
OP9LJLSQ,20250721,1
PRUEBA,20250721,1
OP40LJLSQ,20250722,1
OP41LJLSQ,20250722,1
OP42LJLSQ,20250722,1
OP43LV,20250722,1
OP44LV,20250722,1
OP9LJLSQ,20250722,1
PRUEBA,20250722,1
OP40LJLSQ,20250723,1
OP41LJLSQ,20250723,1
OP42LJLSQ,20250723,1
OP43LV,20250723,1
OP44LV,20250723,1
OP9LJLSQ,20250723,1
PRUEBA,20250723,1
